"","date","id_CH","abundance","unit","depth","phylum","order","family","genus","species","stage","volume_um.3","guild","occurrences","lake"
"1",1997-06-30,6530,435,"indv./m2","0_65m","Arthropoda","Diplostraca","Chydoridae","Eurycercus","sp","",NA,"herbivore cladocerans",1,"BAL"
"2",1996-09-16,6540,435,"indv./m2","0_65m","Arthropoda","Diplostraca","Daphniidae","Simocephalus","sp","",NA,"herbivore cladocerans",1,"BAL"
"3",1988-10-17,6909,19000,"indv./m2","0_65m","Arthropoda","Calanoida","Diaptomidae","Eudiaptomus","padanus","male",NA,"calanoid copepods",1,"BAL"
"4",2006-05-29,7019,750,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Diacyclops","sp","adult",NA,"cyclopoid copepods",1,"BAL"
"5",2006-10-16,7019,900,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Diacyclops","sp","adult",NA,"cyclopoid copepods",1,"BAL"
"6",2006-11-18,7019,500,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Diacyclops","sp","adult",NA,"cyclopoid copepods",1,"BAL"
"7",2007-11-26,7019,500,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Diacyclops","sp","adult",NA,"cyclopoid copepods",1,"BAL"
"8",2016-09-12,7019,750,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Diacyclops","sp","adult",NA,"cyclopoid copepods",1,"BAL"
"9",1987-11-16,7030,8700,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Acanthocyclops","sp","juvenile",NA,"cyclopoid copepods",1,"BAL"
"10",2004-08-23,7031,6050,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"11",2004-09-20,7031,4050,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"12",2004-10-18,7031,2950,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"13",2004-12-15,7031,1005,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"14",2005-05-30,7031,2000,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"15",2005-06-27,7031,1000,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"16",2005-07-18,7031,1500,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"17",2005-08-25,7031,1500,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"18",2005-09-19,7031,2250,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"19",2005-10-17,7031,1650,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"20",2005-11-14,7031,2850,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"21",2005-12-12,7031,3095,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"22",2006-01-09,7031,375,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"23",2006-02-06,7031,750,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"24",2006-05-29,7031,2700,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"25",2006-06-26,7031,3500,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"26",2006-10-16,7031,900,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"27",2008-03-10,7031,375,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"28",2008-06-02,7031,3400,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"29",2008-06-30,7031,650,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"30",2010-05-17,7031,500,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"31",2011-05-16,7031,7100,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"32",2011-06-20,7031,9200,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"33",2011-11-14,7031,3300,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"34",2011-12-12,7031,2550,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"35",2012-02-13,7031,500,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"36",2013-08-19,7031,1325,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"37",2014-04-14,7031,2550,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"38",2016-01-11,7031,1495,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"39",2016-08-09,7031,495,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"40",2016-10-11,7031,250,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"41",2017-04-10,7031,300,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"42",2017-06-06,7031,600,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"43",2017-08-07,7031,400,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"44",2018-01-08,7031,250,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"45",2018-08-06,7031,1995,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"46",2018-09-10,7031,500,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"47",2018-10-08,7031,500,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"48",2018-11-05,7031,500,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"49",2019-10-14,7031,250,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"BAL"
"50",1999-07-26,7033,34500,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"51",1999-08-23,7033,6150,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"52",1999-09-20,7033,24000,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"53",2000-06-26,7033,12300,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"54",2000-07-24,7033,48450,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"55",2000-08-21,7033,117900,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"56",2000-09-18,7033,1800,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"57",2001-04-09,7033,1750,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"58",2001-05-07,7033,4160,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"59",2001-07-02,7033,300,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"60",2001-07-30,7033,9700,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"61",2001-08-27,7033,650,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"62",2001-12-17,7033,4400,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"63",2002-12-16,7033,450,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"64",2003-06-30,7033,1475,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"65",2003-09-22,7033,3000,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"66",2004-07-26,7033,1005,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"67",2008-04-07,7033,500,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"68",2010-09-23,7033,1650,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"69",2011-05-16,7033,4650,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"70",2011-06-20,7033,16750,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"71",2011-08-16,7033,80000,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"72",2011-09-19,7033,10050,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"73",2011-10-10,7033,72200,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"74",2011-11-14,7033,2500,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"75",2012-05-21,7033,2550,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"76",2012-08-13,7033,8700,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"77",2013-05-13,7033,1500,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"78",2013-06-17,7033,750,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"79",2013-08-19,7033,73500,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"80",2013-09-23,7033,4050,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"81",2013-10-21,7033,650,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"82",2014-06-23,7033,11200,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"83",2014-08-25,7033,57000,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"84",2014-09-22,7033,29000,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"85",2014-10-20,7033,15500,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"86",2014-12-18,7033,3010,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"87",2015-01-19,7033,150,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"88",2015-04-27,7033,1950,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"89",2015-06-08,7033,12250,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"90",2015-08-10,7033,195000,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"91",2015-09-14,7033,27650,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"92",2015-10-12,7033,7700,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"93",2015-11-02,7033,3000,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"94",2016-04-19,7033,2250,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"95",2016-06-06,7033,12000,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"96",2016-08-09,7033,6300,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"97",2016-09-12,7033,35250,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"98",2016-10-11,7033,4500,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"99",2016-11-07,7033,3500,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"100",2017-04-10,7033,300,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"101",2017-06-06,7033,495,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"102",2017-08-07,7033,7800,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"103",2017-09-18,7033,46600,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"104",2017-10-16,7033,10950,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"105",2017-11-06,7033,1800,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"106",2018-04-09,7033,2750,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"107",2018-06-04,7033,1005,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"108",2018-08-06,7033,51000,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"109",2018-09-10,7033,10550,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"110",2018-10-08,7033,3250,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"111",2018-11-05,7033,750,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"112",2019-06-03,7033,4550,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"113",2019-08-05,7033,31500,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"114",2019-09-09,7033,5950,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"115",2019-10-14,7033,855,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"116",2019-11-04,7033,900,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"BAL"
"117",1999-07-26,7034,55500,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","female",NA,"cyclopoid copepods",1,"BAL"
"118",1999-08-23,7034,73500,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","female",NA,"cyclopoid copepods",1,"BAL"
"119",1999-09-20,7034,24000,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","female",NA,"cyclopoid copepods",1,"BAL"
"120",1999-10-18,7034,870,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","female",NA,"cyclopoid copepods",1,"BAL"
"121",2000-06-26,7034,24000,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","female",NA,"cyclopoid copepods",1,"BAL"
"122",2000-07-24,7034,49950,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","female",NA,"cyclopoid copepods",1,"BAL"
"123",2000-08-21,7034,76750,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","female",NA,"cyclopoid copepods",1,"BAL"
"124",2000-09-18,7034,39000,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","female",NA,"cyclopoid copepods",1,"BAL"
"125",2000-10-16,7034,5250,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","female",NA,"cyclopoid copepods",1,"BAL"
"126",1999-07-26,7035,85750,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","juvenile",NA,"cyclopoid copepods",1,"BAL"
"127",1999-08-23,7035,87000,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","juvenile",NA,"cyclopoid copepods",1,"BAL"
"128",1999-09-20,7035,141000,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","juvenile",NA,"cyclopoid copepods",1,"BAL"
"129",1999-10-18,7035,75500,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","juvenile",NA,"cyclopoid copepods",1,"BAL"
"130",2000-06-26,7035,123000,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","juvenile",NA,"cyclopoid copepods",1,"BAL"
"131",2000-08-21,7035,3500,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","juvenile",NA,"cyclopoid copepods",1,"BAL"
"132",2000-09-18,7035,85300,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","juvenile",NA,"cyclopoid copepods",1,"BAL"
"133",2000-10-16,7035,13600,"indv./m2","0_65m","Arthropoda","Cyclopoida","Cyclopidae","Thermocyclops","sp","juvenile",NA,"cyclopoid copepods",1,"BAL"
