"","date","id_CH","abundance","unit","depth","order","genus","species","stage","volume_um.3","guild","occurrences","lake"
"1",1996-05-20,6530,870,"indv./m2","0_85m","Diplostraca","Eurycercus","sp","",NA,"herbivore cladocerans",1,"SEM"
"2",1996-06-18,6530,910,"indv./m2","0_85m","Diplostraca","Eurycercus","sp","",NA,"herbivore cladocerans",1,"SEM"
"3",1996-09-11,6530,490,"indv./m2","0_85m","Diplostraca","Eurycercus","sp","",NA,"herbivore cladocerans",1,"SEM"
"4",1997-08-19,6530,420,"indv./m2","0_85m","Diplostraca","Eurycercus","sp","",NA,"herbivore cladocerans",1,"SEM"
"5",1998-09-14,6539,70,"indv./m2","0_85m","Diplostraca","Sida","crystallina","",NA,"herbivore cladocerans",1,"SEM"
"6",1992-11-09,7030,870,"indv./m2","0_85m","Cyclopoida","Acanthocyclops","sp","juvenile",NA,"cyclopoid copepods",1,"SEM"
"7",2001-10-08,7030,840,"indv./m2","0_85m","Cyclopoida","Acanthocyclops","sp","juvenile",NA,"cyclopoid copepods",1,"SEM"
"8",2004-07-19,7030,2520,"indv./m2","0_85m","Cyclopoida","Acanthocyclops","sp","juvenile",NA,"cyclopoid copepods",1,"SEM"
"9",2004-08-16,7030,11750,"indv./m2","0_85m","Cyclopoida","Acanthocyclops","sp","juvenile",NA,"cyclopoid copepods",1,"SEM"
"10",2004-09-13,7030,6230,"indv./m2","0_85m","Cyclopoida","Acanthocyclops","sp","juvenile",NA,"cyclopoid copepods",1,"SEM"
"11",2004-10-11,7030,7000,"indv./m2","0_85m","Cyclopoida","Acanthocyclops","sp","juvenile",NA,"cyclopoid copepods",1,"SEM"
"12",2004-12-13,7031,980,"indv./m2","0_85m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"SEM"
"13",2005-02-28,7031,630,"indv./m2","0_85m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"SEM"
"14",2005-04-25,7031,495,"indv./m2","0_85m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"SEM"
"15",2005-05-18,7031,980,"indv./m2","0_85m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"SEM"
"16",2005-06-20,7031,1660,"indv./m2","0_85m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"SEM"
"17",2005-07-13,7031,1750,"indv./m2","0_85m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"SEM"
"18",2005-08-16,7031,2270,"indv./m2","0_85m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"SEM"
"19",2005-09-12,7031,1470,"indv./m2","0_85m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"SEM"
"20",2005-11-07,7031,910,"indv./m2","0_85m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"SEM"
"21",2006-12-04,7031,350,"indv./m2","0_85m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"SEM"
"22",2007-04-30,7031,1800,"indv./m2","0_85m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"SEM"
"23",2008-02-04,7031,255,"indv./m2","0_85m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"SEM"
"24",2008-03-31,7031,910,"indv./m2","0_85m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"SEM"
"25",2008-04-28,7031,280,"indv./m2","0_85m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"SEM"
"26",2010-05-10,7031,2465,"indv./m2","0_85m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"SEM"
"27",2010-08-16,7031,850,"indv./m2","0_85m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"SEM"
"28",2011-04-11,7031,1105,"indv./m2","0_85m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"SEM"
"29",2012-02-06,7031,680,"indv./m2","0_85m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"SEM"
"30",2012-05-14,7031,1700,"indv./m2","0_85m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"SEM"
"31",2012-06-11,7031,1700,"indv./m2","0_85m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"SEM"
"32",2013-01-21,7031,2465,"indv./m2","0_85m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"SEM"
"33",2013-05-21,7031,1530,"indv./m2","0_85m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"SEM"
"34",2013-08-12,7031,2465,"indv./m2","0_85m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"SEM"
"35",2014-01-20,7031,255,"indv./m2","0_85m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"SEM"
"36",2014-06-16,7031,1530,"indv./m2","0_85m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"SEM"
"37",2014-08-18,7031,1530,"indv./m2","0_85m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"SEM"
"38",2015-01-12,7031,340,"indv./m2","0_85m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"SEM"
"39",2015-04-20,7031,340,"indv./m2","0_85m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"SEM"
"40",2016-04-04,7031,255,"indv./m2","0_85m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"SEM"
"41",2016-04-25,7031,1275,"indv./m2","0_85m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"SEM"
"42",2016-08-16,7031,1020,"indv./m2","0_85m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"SEM"
"43",2017-04-19,7031,1530,"indv./m2","0_85m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"SEM"
"44",2017-08-16,7031,510,"indv./m2","0_85m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"SEM"
"45",2017-10-23,7031,510,"indv./m2","0_85m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"SEM"
"46",2018-01-15,7031,510,"indv./m2","0_85m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"SEM"
"47",2018-03-26,7031,3485,"indv./m2","0_85m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"SEM"
"48",2018-04-17,7031,2465,"indv./m2","0_85m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"SEM"
"49",2018-06-11,7031,3995,"indv./m2","0_85m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"SEM"
"50",2018-08-13,7031,1020,"indv./m2","0_85m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"SEM"
"51",2018-10-15,7031,1530,"indv./m2","0_85m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"SEM"
"52",2018-11-12,7031,1530,"indv./m2","0_85m","Cyclopoida","Cyclops","bohater","C1-C3",NA,"cyclopoid copepods",1,"SEM"
"53",2001-06-25,7033,7950,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"54",2001-07-23,7033,1820,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"55",2001-08-20,7033,7700,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"56",2001-09-17,7033,1320,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"57",2001-10-08,7033,2670,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"58",2002-02-04,7033,840,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"59",2002-05-27,7033,870,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"60",2002-07-22,7033,435,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"61",2002-12-09,7033,660,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"62",2003-09-15,7033,980,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"63",2003-12-09,7033,980,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"64",2004-03-01,7033,1005,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"65",2006-11-06,7033,350,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"66",2010-08-16,7033,8500,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"67",2010-09-20,7033,8245,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"68",2010-12-06,7033,510,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"69",2011-06-14,7033,10200,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"70",2011-08-08,7033,49300,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"71",2012-08-06,7033,2550,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"72",2012-10-08,7033,850,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"73",2013-08-12,7033,31450,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"74",2013-09-16,7033,3740,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"75",2013-10-14,7033,1275,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"76",2014-05-12,7033,1530,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"77",2014-06-16,7033,3995,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"78",2014-08-18,7033,28900,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"79",2014-10-13,7033,2040,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"80",2015-01-12,7033,340,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"81",2015-06-01,7033,1020,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"82",2015-08-03,7033,26350,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"83",2016-04-25,7033,255,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"84",2016-08-16,7033,29750,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"85",2017-03-27,7033,2465,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"86",2017-04-19,7033,13600,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"87",2017-08-16,7033,24650,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"88",2018-04-17,7033,12750,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"89",2018-06-11,7033,161500,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"90",2018-08-13,7033,178500,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"91",2018-10-15,7033,5015,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"92",2019-04-15,7033,9350,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"93",2019-06-10,7033,9350,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"94",2019-08-12,7033,29750,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"95",2019-10-21,7033,1020,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
